iter	Passed	Remaining
0	324	972199
1	679	1018464
2	943	942462
3	1170	876907
4	1306	782633
5	1464	730543
6	1619	692582
7	1931	722259
8	2081	691801
9	2260	675936
10	2461	668820
11	2722	678021
12	3014	692741
13	3310	706060
14	3519	700408
15	3692	688743
16	3838	673492
17	3975	658606
18	4120	646427
19	4314	642912
20	4584	650373
21	4880	660668
22	5188	671591
23	5377	666765
24	5569	662715
25	5761	658984
26	5937	653835
27	6128	650463
28	6284	643885
29	6510	644588
30	6783	649711
31	7055	654394
32	7478	672354
33	7855	685236
34	8052	682173
35	8194	674642
36	8322	666449
37	8486	661467
38	8676	658729
39	8925	660461
40	9136	659409
41	9360	659216
42	9566	657836
43	9766	656130
44	10176	668239
45	10377	666393
46	10705	672611
47	10887	669574
48	11069	666665
49	11214	661647
50	11327	654988
51	11462	649862
52	11587	644332
53	11770	642127
54	11968	640870
55	12199	641329
56	12520	646445
57	12874	653022
58	13044	650218
59	13182	645941
60	13368	644090
61	13548	642037
62	13681	637838
63	13869	636277
64	14043	634128
65	14228	632504
66	14406	630652
67	14694	633597
68	15043	639027
69	15360	642940
70	15528	640609
71	15744	640274
72	15870	636330
73	15993	632401
74	16117	628600
75	16239	624782
76	16557	628556
77	16971	635789
78	17329	640737
79	17520	639489
80	17651	636103
81	17820	634146
82	18039	633991
83	18184	631248
84	18308	627886
85	18423	624261
86	18598	622724
87	18797	622019
88	19150	626369
89	19366	626188
90	19544	624792
91	20030	633124
92	20183	630911
93	20335	628675
94	20508	627118
95	20727	627018
96	20865	624453
97	21138	625970
98	21727	636695
99	21989	637687
100	22132	635254
101	22471	638443
102	22775	640590
103	23084	642801
104	23294	642273
105	23441	640010
106	23604	638192
107	23875	639336
108	24078	638633
109	24227	636513
110	24537	638639
111	24698	636878
112	24906	636325
113	25103	635509
114	25323	635281
115	25511	634265
116	25712	633594
117	25923	633153
118	26076	631302
119	26256	630155
120	26459	629567
121	26654	628772
122	26935	630028
123	27186	630551
124	27365	629402
125	27571	628896
126	28009	633634
127	28296	634910
128	28481	633882
129	28708	633789
130	28944	633913
131	29107	632421
132	29282	631223
133	29501	630987
134	29723	630794
135	29947	630668
136	30111	629268
137	30261	627597
138	30443	626601
139	30646	626059
140	30883	626206
141	31103	626013
142	31291	625168
143	31424	623255
144	31606	622312
145	31843	622481
146	32082	622660
147	32396	624288
148	32552	622862
149	32779	622809
150	32997	622586
151	33196	621998
152	33369	620941
153	33500	619111
154	33733	619177
155	33979	619479
156	34199	619285
157	34343	617740
158	34527	616934
159	34737	616589
160	34969	616644
161	35221	617030
162	35425	616576
163	35620	615979
164	35962	617893
165	36378	621058
166	36598	620852
167	36760	619672
168	36972	619348
169	37205	619360
170	37366	618192
171	37525	616996
172	37783	617415
173	38006	617278
174	38162	616048
175	38356	615450
176	38615	615890
177	39063	619317
178	39281	619061
179	39559	619761
180	39734	618840
181	39941	618434
182	40143	617947
183	40370	617842
184	40604	617845
185	40783	617015
186	40950	616007
187	41114	614969
188	41298	614235
189	41505	613844
